"country","continent","lifeExp","pop","gdpPercap"
"BTC","B",10,8006248610620,884
"ETH","C",9,1664847677703,909
"XRP","B",10,1439654975892,755
"EOS","B",11,424468451438,909
"LTC","C",9,413319949814,755
"BCH","C",7,332860467454,803
"BNB","B",11,257137128059,490
"XLM","C",9,228034767551,729
"USDT","X",0,225094745872,475
"ADA","C",9,203335916938,836
"TRX","C",9,172500785786,879
"XMR","C",8,99967729031,783
"MIOTA","C",7,94231119249,556
"DASH","C",8,93855548189,807
"MKR","X",0,78378684454,618
"ONT","C",7,72070096833,580
"NEO","C",9,72246438952,797
"XTZ","C",7,67269212417,727
"ETC","C",7,58601346096,645
"XEM","C",7,53886743054,568
"ZEC","C",8,38842705088,774
"BAT","X",0,37071979365,775
"WAVES","C",8,31059646134,715
"OMG","C",8,29638183489,771
"DOGE","C",7,27411031726,686
"QTUM","C",7,26717588611,518
"BTG","D",6,25155315490,530
"RVN","D",6,21592033112,561
"TUSD","X",0,22181617377,713
"LSK","C",7,21680968275,747
"DCR","C",8,20656755298,781
"ZRX","X",0,20288059587,872
"LINK","X",0,19015821665,706
"ZIL","D",6,18475600945,793
"DGB","C",7,15873120771,666
"REP","X",0,19688018316,805
"BTS","C",8,18202672389,590
"ICX","C",8,17800907438,609
"HOT","C",9,17155625278,766
"STEEM","C",9,14985255292,540
"NANO","C",7,15038821440,443
"BCN","D",6,15024217529,196
"KCS","X",0,16906660671,153
"KMD","C",8,13547777183,571
"HT","X",0,13691890916,362
"ENJ","X",0,12558831255,632
"AE","D",6,13896709973,714
"XVG","D",6,12423679144,744
"BTM","C",7,12536437484,527
"NPXS","X",0,12102818395,445
"SC","D",6,12162242883,312
"IOST","C",7,13159627814,388
"THETA","X",0,10647132623,537
"STRAT","D",5,10571063211,546
"DAI","X",0,9436207025,635
"GNT","X",0,9450808824,717
"SNT","X",0,9709287893,789
"PPT","X",0,8986981208,396
"PAI","X",0,8819329632,361
"ARK","C",7,7993902254,574
"XIN","E",1,7754849571,165
"FCT","X",0,7275487639,325
"CNX","X",0,7309706518,173
"MANA","X",0,6543027461,774
"WTC","D",6,6799243830,307
"R","X",0,6945730923,362
"DGTX","X",0,7052857540,216
"WAX","D",6,6223825726,370
"MCO","X",0,6131220672,333
"MAID","X",0,6304772286,488
"LOOM","X",0,5909258288,717
"PIVX","C",7,5654133541,673
"LRC","X",0,6070119298,395
"ELF","X",0,5757782387,479
"XZC","D",6,5601092512,477
"QASH","X",0,5456928643,258
"NULS","C",7,5796062172,457
"POWR","X",0,5227894424,395
"QBIT","X",0,5253945419,201
"AION","D",6,5071744932,545
"WAN","D",6,4841821720,361
"KNC","X",0,5037225061,801
"NAS","D",6,4716464779,186
"ENG","C",7,4757283361,534
"MOAC","D",6,4736487239,459
"NEXO","X",0,4622956974,398
"ZEN","D",6,4531302963,474
"STORJ","X",0,4574929324,505
"DENT","X",0,4655710406,376
"POLY","X",0,4312469686,412
"BNT","X",0,4544157455,699
"ETP","D",5,4392459204,437
"RDD","D",5,3929633336,289
"DGD","X",0,4419368435,272
"TOMO","X",0,4150068074,531
"SYS","D",5,3847373382,430
"QKC","D",6,4292651546,672
"RLC","X",0,3729052422,603
"KIN","D",5,4187035884,819
"MONA","X",0,3750706783,338
"TRUE","X",0,3701739322,329
"PAY","X",0,3784589355,327
"FUN","X",0,3325802919,387
"SAN","X",0,3476684936,431
"GAS","X",0,3288865103,766
"GBYTE","D",6,3301239737,332
"VERI","X",0,3320575923,241
"AGI","X",0,2957983680,647
"CVC","X",0,3092875060,395
"LA","X",0,3054054503,192
"CMT","E",1,3052450150,145
"BRD","X",0,2747067370,550
"VTC","C",8,2720797427,622
"NEC","X",0,2805035739,114
"CTXC","X",0,2715774174,432
"RNT","X",0,2872543350,257
"NXS","D",6,2644623190,472
"IOTX","X",0,3001271988,810
"TEL","X",0,2835800266,292
"TTC","X",0,3961247469,258
"CND","X",0,2642494387,264
