"country","continent","lifeExp","pop","gdpPercap"
"BTC","B",10,10499045799444,872
"ETH","B",10,2068841133768,921
"XRP","B",11,1586567027426,769
"BCH","C",7,612232470096,819
"LTC","B",10,569898391926,760
"EOS","B",11,559296562498,914
"BNB","B",11,345782575830,528
"USDT","X",0,286783298724,526
"XLM","C",9,253972779798,778
"ADA","B",10,238934550895,859
"XMR","C",9,132129752619,791
"DASH","C",8,122351323281,832
"XTZ","C",7,100188713400,725
"MIOTA","C",7,96747579901,615
"NEO","C",9,82463847791,811
"ETC","C",8,78139885998,710
"MKR","X",0,71956266922,811
"ONT","C",7,74779230368,587
"XEM","C",7,65619202674,623
"BAT","X",0,50103504277,786
"ZEC","C",8,50221933143,800
"VET","C",7,45802727124,763
"DOGE","C",7,39227293473,684
"BTG","D",6,34271685430,529
"OMG","C",8,31089407149,746
"WAVES","C",8,30592097308,740
"QTUM","C",7,29623460011,534
"DCR","C",8,27230021916,803
"LSK","C",7,26652842373,753
"REP","X",0,26421197859,822
"NANO","C",7,24705019218,422
"TUSD","X",0,22387636234,714
"ZRX","X",0,21930363746,878
"ZIL","D",6,21849041589,780
"RVN","C",7,21556347132,559
"HOT","C",9,21088684766,792
"LINK","X",0,20440975580,699
"ICX","C",8,19963624577,608
"BTS","C",9,19337146219,590
"BCN","D",6,19081743290,175
"DGB","C",7,17947253287,641
"IOST","C",7,17494961252,732
"AE","C",7,16274209478,756
"NPXS","X",0,15471990212,445
"ENJ","X",0,15456808974,696
"XVG","C",7,15374407561,755
"STEEM","C",9,14989059509,540
"KMD","C",8,14140674972,566
"SC","C",7,14004168878,287
"BTM","C",7,13527295308,486
"HT","X",0,13485837954,422
"KCS","X",0,12873316786,198
"AOA","E",3,12623283036,211
"THETA","X",0,12433775625,474
"WTC","C",7,10792181884,317
"SNT","X",0,10567741014,784
"DGTX","X",0,10121234180,260
"XIN","E",1,10111788865,147
"DAI","X",0,9989132189,853
"FCT","X",0,9779464741,421
"GNT","X",0,9753580044,710
"WAX","D",6,9561820420,275
"ARDR","C",7,8985021935,217
"CNX","X",0,9002177510,117
"PAI","X",0,8920372020,567
"PPT","X",0,8569779732,397
"QBIT","X",0,8483027218,217
"MCO","X",0,8146321645,325
"ARK","D",6,7906063428,587
"MAID","X",0,7235142823,553
"HC","D",6,7029385540,513
"LRC","X",0,6947988698,430
"NULS","C",7,6809195912,476
"XZC","D",6,6823146133,565
"R","X",0,6761766596,329
"ELF","X",0,6769743728,694
"NAS","D",6,6717079303,212
