"BTC","B",10,8006248610620,8841
"ETH","C",9,1664847677703,9090
"XRP","B",10,1439654975892,7554
"EOS","B",11,424468451438,9095
"LTC","C",9,413319949814,7553
"BCH","C",7,332860467454,803271
"BNB","B",11,257137128059,4908
"XLM","C",9,228034767551,7297
"USDT","X",0,225094745872,47538
"ADA","C",9,203335916938,83610
"TRX","C",9,172500785786,8791
"XMR","C",8,99967729031,7830
"MIOTA","C",7,94231119249,55617
"DASH","C",8,93855548189,8072
"MKR","X",0,78378684454,61818
"ONT","C",7,72070096833,5801
"NEO","C",9,72246438952,7975
"XTZ","C",7,67269212417,727423
"ETC","C",7,58601346096,6453
"XEM","C",7,53886743054,5680
"ZEC","C",8,38842705088,7746
"BAT","X",0,37071979365,7756
"WAVES","C",8,31059646134,7158
"OMG","C",8,29638183489,7719
"DOGE","C",7,27411031726,6867
"QTUM","C",7,26717588611,5187
"BTG","D",6,25155315490,5309
"RVN","D",6,21592033112,5613
"TUSD","X",0,22181617377,7130
"LSK","C",7,21680968275,7471
"DCR","C",8,20656755298,78115
"ZRX","X",0,20288059587,8724
"LINK","X",0,19015821665,7068
"ZIL","D",6,18475600945,79312
"DGB","C",7,15873120771,6662
"REP","X",0,19688018316,80514
"BTS","C",8,18202672389,5902
"ICX","C",8,17800907438,609356
"HOT","C",9,17155625278,7664
"STEEM","C",9,14985255292,5403
"NANO","C",7,15038821440,44335
"BCN","D",6,15024217529,1960
"KCS","X",0,16906660671,1530
"KMD","C",8,13547777183,571188
"HT","X",0,13691890916,36299
"ENJ","X",0,12558831255,6328
"AE","D",6,13896709973,71419
"XVG","D",6,12423679144,7448
"BTM","C",7,12536437484,527344
"NPXS","X",0,12102818395,4452
"SC","D",6,12162242883,3123
"IOST","C",7,13159627814,3889
"THETA","X",0,10647132623,53757
"STRAT","D",5,10571063211,5463
"DAI","X",0,9436207025,6353
"GNT","X",0,9450808824,7172
"SNT","X",0,9709287893,7890
"PPT","X",0,8986981208,39641
"PAI","X",0,8819329632,3615
"ARK","C",7,7993902254,5743
"XIN","E",1,7754849571,16518
"FCT","X",0,7275487639,32516
"CNX","X",0,7309706518,1731
"MANA","X",0,6543027461,77412
"WTC","D",6,6799243830,3077
"R","X",0,6945730923,36212
"DGTX","X",0,7052857540,21618
"WAX","D",6,6223825726,37019
"MCO","X",0,6131220672,33310
"MAID","X",0,6304772286,4882
"LOOM","X",0,5909258288,7176
"PIVX","C",7,5654133541,67313
"LRC","X",0,6070119298,39517
"ELF","X",0,5757782387,47910
"XZC","D",6,5601092512,47720
"QASH","X",0,5456928643,25822
"NULS","C",7,5796062172,4577
"POWR","X",0,5227894424,3958
"QBIT","X",0,5253945419,2014
"AION","D",6,5071744932,5452
"WAN","D",6,4841821720,3618
"KNC","X",0,5037225061,801352
"NAS","D",6,4716464779,1866
"ENG","C",7,4757283361,53436
"MOAC","D",6,4736487239,4594
"NEXO","X",0,4622956974,39810
"ZEN","D",6,4531302963,47418
"STORJ","X",0,4574929324,50523
"DENT","X",0,4655710406,3769
"POLY","X",0,4312469686,41220
"BNT","X",0,4544157455,6990
"ETP","D",5,4392459204,43716
"RDD","D",5,3929633336,2892
"DGD","X",0,4419368435,2721
"TOMO","X",0,4150068074,5311
"SYS","D",5,3847373382,4301
"QKC","D",6,4292651546,67230
"RLC","X",0,3729052422,60321
"KIN","D",5,4187035884,8193
"MONA","X",0,3750706783,3389
"TRUE","X",0,3701739322,32945
"PAY","X",0,3784589355,3278
"FUN","X",0,3325802919,3879
"SAN","X",0,3476684936,43115
"GAS","X",0,3288865103,7660
"GBYTE","D",6,3301239737,3324
"VERI","X",0,3320575923,2413
"AGI","X",0,2957983680,64725
"CVC","X",0,3092875060,3958
"LA","X",0,3054054503,1920
"CMT","E",1,3052450150,1458
"BRD","X",0,2747067370,55011
"VTC","C",8,2720797427,62222
"NEC","X",0,2805035739,1145
"CTXC","X",0,2715774174,43239
"RNT","X",0,2872543350,2570
"NXS","D",6,2644623190,4721
"IOTX","X",0,3001271988,81028
"TEL","X",0,2835800266,29223
"TTC","X",0,3961247469,25811
"CND","X",0,2642494387,26410
"EVX","X",0,2578941498,4274
"MITH","X",0,2563503976,2676
"MDA","X",0,2708164425,25910
"DRGN","X",0,2640357056,3698
"NEBL","D",6,2431296748,37310
"EDR","X",0,2424280621,30417
"MAN","D",5,2205986269,33210
"REQ","X",0,2169534365,4229
"EDO","X",0,2222511824,2722
"SLT","X",0,2183034555,15126
"TCT","X",0,2205400427,26934
"GTO","X",0,2169245659,3244
"STORM","X",0,2143001760,39226
"PART","X",0,2087659683,5420
"GVT","X",0,2091174494,3453
"ABT","X",0,2125597010,57448
"CLAM","X",0,2363038762,2246
"AUTO","X",0,2056089716,25671
"OCN","X",0,2025501535,33821
"BFT","X",0,2028460969,1788
"RDN","X",0,2027371855,75628
"POE","X",0,1939621037,56312
"C20","X",0,2018501803,22313
"SRN","X",0,1923618587,3989
"GNO","X",0,1927138147,64924
"OST","X",0,1819974868,53225
"WABI","X",0,2087060718,2170
"SKY","D",5,1989431741,5880
"ETHOS","X",0,1815881704,30919
"CS","D",5,1881852521,3375
"TKN","X",0,1730798812,36426
"SMART","D",5,1919875170,4922
"MTL","X",0,1797427746,29227
"SXDT","X",0,1780222331,2396
"ANT","X",0,1707217965,6825
"FSN","X",0,1659373196,41220
"REN","X",0,1624338822,29716
"WGR","X",0,1905644790,32220
"XYO","X",0,1635377748,7057
"DATA","X",0,1561820041,5337
"QSP","X",0,1701791039,35811
"EMC2","D",5,1520491406,1883
"MDS","X",0,1527150484,38827
"HPB","D",6,1660764984,32524
"PPC","D",6,1458182421,5042
"DTA","X",0,1426202599,397121
"BLOCK","D",5,1436230395,4972
"UTT","X",0,1608900797,1260
"FLO","X",0,1324147871,1564
"RUFF","X",0,1449144260,13835
"BLZ","X",0,1435798358,504230
"ICN","X",0,1318190048,1602
"LBA","X",0,1749245670,26520
"RCN","X",0,1865005297,63818
"SALT","X",0,1419585067,5884
"ORME","X",0,1476505245,24041
"DMT","X",0,1355226434,2692
"CRPT","X",0,1385634210,30129
"VIBE","X",0,1349486843,15411
"VIA","D",5,1344737611,4512
"LOC","X",0,1395689864,30525
"UNO","X",0,1749375189,1527
"UTK","X",0,1316636353,2434
"EDG","X",0,1217785611,26545
"ADX","X",0,1275483256,53614
"LEND","X",0,1252049712,3948
"NCASH","X",0,1277015574,2145
"MGO","X",0,1254800563,21312
"XAS","D",5,1322126602,4045
"APIS","X",0,1092696744,19324
"PRE","X",0,1340788876,23618
"PRO","X",0,1188492503,25311
"NOAH","X",0,1214820826,38530
"SOC","X",0,1120062115,19327
"NMR","X",0,1149342120,50363
"ZIP","X",0,1214329386,21224
"SNGLS","X",0,1222071097,42320
"ITC","X",0,1211398583,2109
"VEE","X",0,1238649044,36036
"QRL","X",0,1246336035,4417
"INS","X",0,1115601607,5975
"TRAC","X",0,1037493239,57231
"DROP","X",0,1245135274,25016
"NMC","D",5,1194809822,4375
"SNM","X",0,1080089220,54217
"DLT","X",0,1136189474,12624
"TNB","X",0,1131326053,2071
"XSN","X",0,1103479841,4340
"UBQ","D",4,1065270128,3140
