"country","continent","lifeExp","pop","gdpPercap"
"BTC","x",0,948,948
"ETH","x",440799,4,4
"XRP","x",915505,3,3
"EOS","x",193408,16,16
"LTC","x",31627,159,159
"BCH","x",0,948,948
"BNB","x",938567,2,2
"XLM","x",267618,12,12
"USDT","x",31521,160,160
"ADA","x",133028,26,26
"TRX","x",1029950,1,1
"BSV","x",6174,550,550
"DASH","x",320933,6,6
"XMR","x",315578,8,8
"MIOTA","x",117449,30,30
"MKR","x",23930,208,208
"XTZ","x",39971,116,116
"ONT","x",72749,55,55
"NEO","x",319067,7,7
"ETC","x",226797,13,13
"XEM","x",215964,14,14
"ZEC","x",74445,53,53
"BAT","x",96103,39,39
"VET","x",106118,36,36
"WAVES","x",137956,23,23
"QTUM","x",176338,18,18
"OMG","x",289600,11,11
"DOGE","x",130451,27,27
"USDC","x",0,948,948
"MXM","x",788,879,879
"BTG","x",73211,54,54
"LSK","x",183667,17,17
"TUSD","x",8523,452,452
"CRO","x",68257,62,62
"ZRX","x",148845,21,21
"DCR","x",40316,115,115
"RVN","x",22671,219,219
"ZIL","x",58407,75,75
"LINK","x",13399,326,326
"REP","x",123904,29,29
"ICX","x",112844,31,31
"BTS","x",92490,41,41
"HOT","x",19972,237,237
"KCS","x",326226,5,5
"DGB","x",154183,19,19
"NANO","x",97623,37,37
"STEEM","x",106135,35,35
"BCN","x",42690,106,106
"BCD","x",20981,229,229
"AE","x",23833,212,212
"HT","x",92375,42,42
"IOST","x",196288,15,15
"BTT","x",76245,50,50
"KMD","x",96353,38,38
"XVG","x",305310,9,9
"PAX","x",1067,855,855
"BTM","x",20418,233,233
"ENJ","x",43892,102,102
"SC","x",109914,33,33
"NPXS","x",57927,78,78
"STRAT","x",138183,22,22
"THETA","x",68710,60,60
"PAI","x",14818,301,301
"GNT","x",149123,20,20
"SNT","x",110871,32,32
"DAI","x",23930,207,207
"AOA","x",25614,195,195
"ABBC","x",4130,647,647
"PPT","x",24003,206,206
"ARDR","x",69323,59,59
"INB","x",287,914,914
"ARK","x",63546,66,66
"WTC","x",55104,82,82
"DGTX","x",61457,70,70
"GXC","x",10854,382,382
"XIN","x",4487,633,633
"CNX","x",28303,176,176
"FCT","x",75813,51,51
"HC","x",12549,343,343
"R","x",7220,504,504
"LOOM","x",18607,247,247
"GUSD","x",0,948,948
"NULS","x",20293,235,235
"WAX","x",24294,203,203
"ELA","x",30523,167,167
"MANA","x",43959,100,100
"MAID","x",56004,81,81
"LRC","x",29051,173,173
"MCO","x",68257,61,61
"XZC","x",59908,74,74
"TTC","x",0,948,948
"BIX","x",19601,239,239
"PIVX","x",61957,68,68
"ETN","x",128347,28,28
"THR","x",1747,809,809
"ELF","x",33734,145,145
"AION","x",68195,63,63
"WICC","x",10191,402,402
"QASH","x",24271,204,204
"POWR","x",85112,45,45
"QBIT","x",1238,847,847
"ENG","x",61737,69,69
"DENT","x",43946,101,101
"WAN","x",109109,34,34
"KNC","x",95377,40,40
"NAS","x",23883,210,210
"NEXO","x",38387,121,121
"MOAC","x",7001,514,514
"STORJ","x",83746,46,46
"ZEN","x",25228,197,197
"BNT","x",78158,49,49
"ODE","x",4954,611,611
"POLY","x",34041,143,143
"ETP","x",14299,312,312
"DGD","x",16508,278,278
"RDD","x",69489,58,58
"QKC","x",46762,94,94
"REPO","x",1367,837,837
"KIN","x",26368,191,191
"RLC","x",24635,199,199
"LKY","x",0,948,948
"MHC","x",8214,464,464
"EURS","x",3338,694,694
"SYS","x",62560,67,67
"TOMO","x",12846,337,337
"PAY","x",137792,24,24
"MONA","x",0,948,948
"APL","x",56710,80,80
"FUN","x",36586,133,133
"TRUE","x",1922,793,793
"NXT","x",81722,48,48
"GRS","x",38910,120,120
"CMT","x",292424,10,10
"VEST","x",5718,570,570
"CTXC","x",21317,224,224
"GAS","x",0,948,948
"QNT","x",6543,532,532
"SAN","x",10465,395,395
"CVC","x",88893,43,43
"DAC","x",304,911,911
"META","x",2404,760,760
"TEL","x",26272,192,192
"EVX","x",16263,280,280
"LA","x",29190,171,171
"TPAY","x",27897,179,179
"GBYTE","x",14047,319,319
"VERI","x",9432,423,423
"AGI","x",24398,202,202
"VTC","x",63993,65,65
"IOTX","x",14612,307,307
"BRD","x",40967,112,112
"MITH","x",21793,221,221
"CND","x",36794,132,132
"PZM","x",1761,807,807
"MDA","x",5530,578,578
"COSM","x",2975,722,722
"NXS","x",21207,227,227
"ECOREAL","x",57,938,938
"MAN","x",23913,209,209
"MTL","x",33169,147,147
"MFT","x",17027,270,270
"DRGN","x",74604,52,52
"BCZERO","x",70,935,935
"NRG","x",13200,330,330
"NEBL","x",40326,114,114
"EDR","x",5453,585,585
"GRIN","x",13413,325,325
"CLAM","x",5517,581,581
"GBC","x",856,870,870
"CENNZ","x",10682,390,390
"XPX","x",3335,696,696
"GO","x",8849,438,438
"GTO","x",16797,272,272
"REQ","x",42116,109,109
"BZNT","x",3146,709,709
"EDO","x",21829,220,220
"TCT","x",612,893,893
"STORM","x",17184,266,266
"OCN","x",86551,44,44
"SLT","x",15679,288,288
"ABT","x",37943,125,125
"INO","x",255,917,917
"GVT","x",21211,226,226
"RDN","x",25464,196,196
"WABI","x",35513,138,138
"AUTO","x",4939,612,612
"SKY","x",15339,292,292
"PART","x",19265,243,243
"C20","x",7647,486,486
"CS","x",46747,95,95
"POE","x",32782,150,150
"HPB","x",27170,182,182
"SCC","x",202,921,921
"SRN","x",21448,223,223
"RNT","x",2233,764,764
"BFT","x",15051,295,295
"GNO","x",71800,56,56
"SMART","x",14110,318,318
"ROX","x",36,942,942
"TKN","x",18193,250,250
"ETHOS","x",61022,71,71
"LBA","x",14628,306,306
"OST","x",18084,253,253
"GETX","x",1934,792,792
"REN","x",6054,554,554
"KAN","x",2720,745,745
"PLC","x",110,931,931
"DATA","x",22895,218,218
"FET","x",7560,487,487
"FTM","x",11892,362,362
"QSP","x",57039,79,79
"SMT","x",3230,702,702
"WGR","x",7658,485,485
"CVT","x",40435,113,113
"SXDT","x",6147,552,552
"NKN","x",9284,427,427
"SPND","x",3789,665,665
"CWV","x",11971,357,357
"RCN","x",18823,246,246
"IGNIS","x",26729,186,186
"DDD","x",0,948,948
"DCN","x",20122,236,236
"UNO","x",3484,686,686
"CHX","x",15982,285,285
"BCV","x",36,941,941
"NAV","x",48540,90,90
"ANT","x",70615,57,57
"RUFF","x",8811,439,439
"MDS","x",1755,808,808
"MOC","x",3922,657,657
"XYO","x",8548,451,451
"S4F","x",127,929,929
"IQ","x",10473,394,394
"HYC","x",3564,676,676
"SALT","x",42634,108,108
"FSN","x",8865,437,437
"EMC2","x",45895,97,97
"NET","x",1107,852,852
"LEO","x",4614,624,624
"EMC","x",3619,673,673
"VIA","x",41223,110,110
"BLZ","x",35254,139,139
"ZCL","x",36581,134,134
"BLOCK","x",21249,225,225
"PPC","x",37016,131,131
"MEDX","x",8394,457,457
"PRS","x",219,919,919
"CRPT","x",17366,260,260
"ICN","x",47972,91,91
"VIBE","x",20687,230,230
"PBT","x",2816,740,740
"HYN","x",681,890,890
"SOLVE","x",10734,388,388
"NMC","x",20300,234,234
"LOC","x",30013,168,168
"ADX","x",54662,83,83
"DMT","x",9425,424,424
"XAS","x",4741,620,620
"ACT","x",134843,25,25
"AERGO","x",5925,563,563
"UTK","x",28064,178,178
"MLN","x",0,948,948
"ZIP","x",1371,835,835
"PRE","x",5487,582,582
"ITC","x",16695,273,273
"FLO","x",12565,342,342
"DTA","x",58195,76,76
"PHX","x",39202,118,118
"TKY","x",30941,164,164
"B2G","x",3500,682,682
"SNGLS","x",35146,141,141
"PRO","x",10982,379,379
"LEND","x",42673,107,107
"VEE","x",6490,535,535
"NCASH","x",60572,73,73
"MGO","x",5061,606,606
"CNUS","x",566,901,901
"QRL","x",12839,338,338
"NMR","x",16013,284,284
"SNM","x",31755,156,156
"INS","x",19542,240,240
"DEW","x",4500,632,632
"ORME","x",29785,170,170
"NOAH","x",7394,497,497
"COSS","x",17145,267,267
"DLT","x",14893,300,300
"QLC","x",24549,201,201
"DROP","x",12911,336,336
"EDG","x",37573,127,127
"PMA","x",4454,636,636
"BTU","x",1323,840,840
"HUM","x",0,948,948
"APIS","x",14741,304,304
"BEAM","x",9478,421,421
"PEPECASH","x",1630,814,814
"SOC","x",7549,489,489
"TNB","x",15384,291,291
"LAMB","x",4338,639,639
"DBC","x",39057,119,119
"RHOC","x",10770,385,385
"AMB","x",19082,245,245
"DNT","x",60626,72,72
"BOS","x",7367,498,498
"TEN","x",7706,482,482
"VITE","x",8898,435,435
"POA","x",17055,268,268
"XSN","x",12818,339,339
"XDN","x",692,887,887
"ARN","x",42868,105,105
"UBQ","x",45033,98,98
"TRAC","x",15727,287,287
"TNT","x",17261,263,263
"BCO","x",30691,165,165
"LRN","x",29051,174,174
"JNT","x",6492,534,534
"SBD","x",0,948,948
"KEY","x",23837,211,211
"SDA","x",924,867,867
"XPM","x",10888,381,381
"MED","x",8394,456,456
"TERN","x",3477,687,687
"FOAM","x",14378,311,311
"CNN","x",82884,47,47
"APPC","x",25651,194,194
"CVNT","x",0,948,948
"GAME","x",29904,169,169
"WPR","x",35231,140,140
"BITCNY","x",0,948,948
"BHP","x",1019,861,861
"SCRL","x",3689,667,667
"MET","x",9652,419,419
"EDC","x",0,948,948
"ZRC","x",7161,510,510
"OSA","x",1402,830,830
"BURST","x",25734,193,193
"OIO","x",35838,137,137
