"country","continent","lifeExp","pop","gdpPercap"
"BTC","x",0,1,1
"ETH","x",440799,2,2
"XRP","x",915505,3,3
"EOS","x",193408,4,4
"LTC","x",31627,5,5
"BCH","x",0,6,6
"BNB","x",938567,7,7
"XLM","x",267618,8,8
"USDT","x",31521,9,9
"ADA","x",133028,10,10
"TRX","x",1029950,11,11
"BSV","x",6174,12,12
"DASH","x",320933,13,13
"XMR","x",315578,14,14
"MIOTA","x",117449,15,15
"MKR","x",23930,16,16
"XTZ","x",39971,17,17
"ONT","x",72749,18,18
"NEO","x",319067,19,19
"ETC","x",226797,20,20
"XEM","x",215964,21,21
"ZEC","x",74445,22,22
"BAT","x",96103,23,23
"VET","x",106118,24,24
"WAVES","x",137956,25,25
"QTUM","x",176338,26,26
"OMG","x",289600,27,27
"DOGE","x",130451,28,28
"USDC","x",0,29,29
"MXM","x",788,30,30
"BTG","x",73211,31,31
"LSK","x",183667,32,32
"TUSD","x",8523,33,33
"CRO","x",68257,34,34
"ZRX","x",148845,35,35
"DCR","x",40316,36,36
"RVN","x",22671,37,37
"ZIL","x",58407,38,38
"LINK","x",13399,39,39
"REP","x",123904,40,40
"ICX","x",112844,41,41
"BTS","x",92490,42,42
"HOT","x",19972,43,43
"KCS","x",326226,44,44
"DGB","x",154183,45,45
"NANO","x",97623,46,46
"STEEM","x",106135,47,47
"BCN","x",42690,48,48
"BCD","x",20981,49,49
"AE","x",23833,50,50
"HT","x",92375,51,51
"IOST","x",196288,52,52
"BTT","x",76245,53,53
"KMD","x",96353,54,54
"XVG","x",305310,55,55
"PAX","x",1067,56,56
"BTM","x",20418,57,57
"ENJ","x",43892,58,58
"SC","x",109914,59,59
"NPXS","x",57927,60,60
"STRAT","x",138183,61,61
"THETA","x",68710,62,62
"PAI","x",14818,63,63
"GNT","x",149123,64,64
"SNT","x",110871,65,65
"DAI","x",23930,66,66
"AOA","x",25614,67,67
"ABBC","x",4130,68,68
"PPT","x",24003,69,69
"ARDR","x",69323,70,70
"INB","x",287,71,71
"ARK","x",63546,72,72
"WTC","x",55104,73,73
"DGTX","x",61457,74,74
"GXC","x",10854,75,75
"XIN","x",4487,76,76
"CNX","x",28303,77,77
"FCT","x",75813,78,78
"HC","x",12549,79,79
"R","x",7220,80,80
"LOOM","x",18607,81,81
"GUSD","x",0,82,82
"NULS","x",20293,83,83
"WAX","x",24294,84,84
"ELA","x",30523,85,85
"MANA","x",43959,86,86
"MAID","x",56004,87,87
"LRC","x",29051,88,88
"MCO","x",68257,89,89
"XZC","x",59908,90,90
"TTC","x",0,91,91
"BIX","x",19601,92,92
"PIVX","x",61957,93,93
"ETN","x",128347,94,94
"THR","x",1747,95,95
"ELF","x",33734,96,96
"AION","x",68195,97,97
"WICC","x",10191,98,98
"QASH","x",24271,99,99
"POWR","x",85112,100,100
"QBIT","x",1238,101,101
"ENG","x",61737,102,102
"DENT","x",43946,103,103
"WAN","x",109109,104,104
"KNC","x",95377,105,105
"NAS","x",23883,106,106
"NEXO","x",38387,107,107
"MOAC","x",7001,108,108
"STORJ","x",83746,109,109
"ZEN","x",25228,110,110
"BNT","x",78158,111,111
"ODE","x",4954,112,112
"POLY","x",34041,113,113
"ETP","x",14299,114,114
"DGD","x",16508,115,115
"RDD","x",69489,116,116
"QKC","x",46762,117,117
"REPO","x",1367,118,118
"KIN","x",26368,119,119
"RLC","x",24635,120,120
